trait,strain,delta,p,ci_low,ci_high,n,p_adj,delta_aligned,z
Fv/Fm,AJ 1.2,-0.03845522135492295,0.10319379773051492,-0.0847683709563401,0.007857928246494207,80,0.24494551932262576,-0.03845522135492295,0.0
Fv/Fm,CMg,0.007501538540963068,0.2193413213111778,-0.004499684802113159,0.019502761884039294,80,0.27417665163897226,0.007501538540963068,1.0
Fv/Fm,DKB 58,-0.027552680572215403,0.09591273511539922,-0.06002501875666968,0.004919657612238872,80,0.24494551932262576,-0.027552680572215403,0.2372347573546743
Fv/Fm,DKB 64,-0.029085001351713477,0.14696731159357546,-0.0684662554053668,0.010296252701939852,80,0.24494551932262576,-0.029085001351713477,0.20389209388210766
Fv/Fm,DLGB 2,-0.00012186775353306006,0.9858250463218441,-0.013623423874335891,0.01337968836726977,80,0.9858250463218441,-0.00012186775353306006,0.8341178466069675
PI Inst.,AJ 1.2,-2.3321914459564956,0.39717879341346585,-7.749757969340325,3.085375077427334,80,0.44249829456442136,-2.3321914459564956,0.12147302835644588
PI Inst.,CMg,1.0367393739991417,0.14700011805567018,-0.36712597272547054,2.440604720723754,80,0.44249829456442136,1.0367393739991417,1.0
PI Inst.,DKB 58,-1.8178037098116895,0.3466858541593834,-5.61631566156016,1.9807082419367807,80,0.44249829456442136,-1.8178037098116895,0.25561157979509813
PI Inst.,DKB 64,-2.7980100744475225,0.23261889202582867,-7.4047052667653785,1.8086851178703336,80,0.44249829456442136,-2.7980100744475225,0.0
PI Inst.,DLGB 2,-0.6166215964965915,0.44249829456442136,-2.195991151000206,0.9627479580070228,80,0.44249829456442136,-0.6166215964965915,0.5688477193300184
ELECTROLYTE LEAKAGE (EL) [%],AJ 1.2,-37.11121849109693,5.438815613506454e-05,-54.884808286089914,-19.33762869610394,80,6.798519516883068e-05,37.11121849109693,1.0
ELECTROLYTE LEAKAGE (EL) [%],CMg,-2.0130476953766436,0.39000393615683043,-6.618755201207866,2.5926598104545784,80,0.39000393615683043,2.0130476953766436,0.0
ELECTROLYTE LEAKAGE (EL) [%],DKB 58,-35.53504211632081,5.625491798428933e-08,-47.996945993338,-23.073138239303617,80,1.4063729496072332e-07,35.53504211632081,0.9550923498563546
ELECTROLYTE LEAKAGE (EL) [%],DKB 64,-33.27559451072105,2.1625421372156565e-05,-48.38893189299706,-18.16225712844504,80,3.604236895359428e-05,33.27559451072105,0.8907172683528118
ELECTROLYTE LEAKAGE (EL) [%],DLGB 2,-21.54547908252005,1.8771951845854557e-14,-26.726969051362147,-16.363989113677953,80,9.385975922927278e-14,21.54547908252005,0.556508528630361
Relative Water Content (RWC),AJ 1.2,-4.8559322361641595,0.4282632729749031,-16.91332325096915,7.201458778640832,80,0.6941144221367034,-4.8559322361641595,0.0
Relative Water Content (RWC),CMg,0.6755809532587138,0.6704609812864926,-2.44887600440515,3.8000379109225775,80,0.6941144221367034,0.6755809532587138,1.0
Relative Water Content (RWC),DKB 58,-3.459304758782441,0.4209072699385484,-11.913311493901302,4.994701976336421,80,0.6941144221367034,-3.459304758782441,0.2524856091914037
Relative Water Content (RWC),DKB 64,-2.0488618586271325,0.6941144221367034,-12.301569412849329,8.203845695595064,80,0.6941144221367034,-2.0488618586271325,0.5074688030943484
Relative Water Content (RWC),DLGB 2,-3.485460338837389,0.05194406865896701,-7.000521241796837,0.029600564122058692,80,0.259720343294835,-3.485460338837389,0.24775714174329894
Water Saturation Deficit (WSD),AJ 1.2,4.855932236164207,0.4282632729748983,-7.201458778640781,16.913323250969196,80,0.6941144221366974,-4.855932236164207,0.0
Water Saturation Deficit (WSD),CMg,-0.6755809532587373,0.6704609812864816,-3.8000379109226006,2.448876004405126,80,0.6941144221366974,0.6755809532587373,1.0
Water Saturation Deficit (WSD),DKB 58,3.4593047587825128,0.4209072699385388,-4.994701976336349,11.913311493901375,80,0.6941144221366974,-3.4593047587825128,0.25248560919139607
Water Saturation Deficit (WSD),DKB 64,2.0488618586271743,0.6941144221366974,-8.203845695595021,12.301569412849368,80,0.6941144221366974,-2.0488618586271743,0.5074688030943428
Water Saturation Deficit (WSD),DLGB 2,3.485460338837416,0.05194406865896524,-0.02960056412203116,7.000521241796863,80,0.2597203432948262,-3.485460338837416,0.2477571417432995
